SaleDate,holidayCluster,disHoliday,disHoliday_detail,disWorkday_detail
20150728,1,0,0,1
20150729,1,0,0,1
20150730,1,0,0,5
20150731,1,0,0,4
20150801,2,0,0,2
20150802,2,0,0,2
20150803,1,0,0,1
20150804,1,0,0,1
20150805,1,0,0,1
20150806,1,0,0,5
20150807,1,0,0,4
20150808,2,0,0,2
20150809,2,0,0,2
20150810,1,0,0,1
20150811,1,0,0,1
20150812,1,0,0,1
20150813,1,0,0,5
20150814,1,0,0,4
20150815,2,0,0,2
20150816,2,0,0,2
20150817,1,0,0,1
20150818,1,0,0,1
20150819,1,0,0,1
20150820,1,0,0,5
20150821,1,0,0,4
20150822,2,0,0,2
20150823,2,0,0,2
20150824,1,0,0,1
20150825,1,0,0,1
20150826,1,0,0,1
20150827,1,0,0,5
20150828,1,0,0,4
20150829,2,0,0,2
20150830,2,0,0,2
20150831,1,0.6,13,1
20150901,1,0.6,12,5
20150902,1,0.8,11,4
20150903,3,1,1,3
20150904,3,1,2,3
20150905,3,1,3,3
20150906,1,0.5,8,1
20150907,1,0.3,9,1
20150908,1,0.3,10,1
20150909,1,0,0,1
20150911,1,0,0,4
20150912,2,0,0,2
20150913,2,0,0,2
20150914,1,0,0,1
20150915,1,0,0,1
20150916,1,0,0,1
20150917,1,0,0,5
20150918,1,0,0,4
20150919,2,0,0,2
20150920,2,0,0,2
20150921,1,0,0,1
20150922,1,0,0,1
20150923,1,0,0,1
20150924,1,0,0,5
20150925,1,0,0,4
20150926,3,0,0,3
20150927,3,0,0,3
20150928,1,0.6,13,1
20150929,1,0.6,12,5
20150930,1,0.8,11,4
20151001,3,1,1,3
20151002,3,1,2,3
20151003,3,1,3,3
20151004,3,1,4,3
20151005,3,1,5,3
20151006,3,1,6,3
20151007,3,1,7,3
20151008,1,0.5,8,1
20151009,1,0.3,9,5
20151010,1,0.3,10,4
20151011,2,0,0,2
20151012,1,0,0,1
20151013,1,0,0,1
20151014,1,0,0,1
20151015,1,0,0,5
20151016,1,0,0,4
20151017,2,0,0,2
20151018,2,0,0,2
20151019,1,0,0,1
20151020,1,0,0,1
20151021,1,0,0,1
20151022,1,0,0,5
20151023,1,0,0,4
20151024,2,0,0,2
20151025,2,0,0,2
20151026,1,0,0,1
20151027,1,0,0,1
20151028,1,0,0,1
20151029,1,0,0,1
