Class,parClass,SaleDate,saleCount,Coupon,holidayCluster,disHoliday,disHoliday_detail,month,dayOfWeek,dayOfYear,weekOfYear,cumType,parCumType,hotIndex,parHotIndex,wkDaySaleCount_median,wkDaySaleCount_mean,wkDaySaleCount_max,wkDaySaleCount_min,holDaySaleCount_median,holDaySaleCount_mean,holDaySaleCount_max,holDaySaleCount_min,wkHolRatio,classWeekdayRatio,parClassWeekdayRatio
1001,10,2015/1/25,5,0,2,0,0,1,6,25,4,129.72,115.71,0.00325,0.07125,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.120815138,0.129173508
1001,10,2015/1/26,13,0,1,0,0,1,0,26,5,129.72,115.71,0.22891,0.32881,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.142649199,0.141215107
1001,10,2015/1/27,12,0,1,0,0,1,1,27,5,129.72,115.71,0.22891,0.32881,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.147016012,0.132457581
1001,10,2015/1/28,35,0,1,0,0,1,2,28,5,129.72,115.71,0.01028,0.14284,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.318777293,0.315270936
1001,10,2015/1/29,9,0,1,0,0,1,3,29,5,129.72,115.71,0.07355,0.32881,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.114992722,0.119321292
1001,10,2015/1/30,4,0,1,0,0,1,4,30,5,129.72,115.71,0.22891,0.32881,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.084425036,0.089764641
1001,10,2015/1/31,6,0,2,0,0,1,5,31,5,129.72,115.71,0.00325,0.07125,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.069868996,0.072249589
1001,10,2015/2/1,5,0,2,0,0,2,6,32,5,129.72,115.71,0.00049,0.00055,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.120815138,0.129173508
1001,10,2015/2/2,5,0,1,0,0,2,0,33,6,129.72,115.71,0.22891,0.32881,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.142649199,0.141215107
1001,10,2015/2/3,9,0,1,0,0,2,1,34,6,129.72,115.71,0.00117,0.07125,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.147016012,0.132457581
1001,10,2015/2/4,0,0,1,0,0,2,2,35,6,129.72,115.71,0.00555,0.14284,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.318777293,0.315270936
1001,10,2015/2/5,10,0,1,0,0,2,3,36,6,129.72,115.71,0.01009,0.02,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.114992722,0.119321292
1001,10,2015/2/6,4,0,1,0,0,2,4,37,6,129.72,115.71,0.01475,0.07125,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.084425036,0.089764641
1001,10,2015/2/7,1,0,2,0,0,2,5,38,6,129.72,115.71,0.01583,0.14284,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.069868996,0.072249589
1001,10,2015/2/8,10,0,2,0,0,2,6,39,6,129.72,115.71,0.01583,0.14284,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.120815138,0.129173508
1001,10,2015/2/9,8,0,1,0,0,2,0,40,7,129.72,115.71,0.00209,0.01482,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.142649199,0.141215107
1001,10,2015/2/10,14,0,1,0,0,2,1,41,7,129.72,115.71,0.00227,0.02,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.147016012,0.132457581
1001,10,2015/2/11,25,0,1,0,0,2,2,42,7,129.72,115.71,0.00132,0.01482,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.318777293,0.315270936
1001,10,2015/2/12,6,0,1,0,0,2,3,43,7,129.72,115.71,0.01475,0.07125,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.114992722,0.119321292
1001,10,2015/2/13,6,0,1,0,0,2,4,44,7,129.72,115.71,0.01475,0.07125,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.084425036,0.089764641
1001,10,2015/2/14,0,0,2,0,0,2,5,45,7,129.72,115.71,0.00635,0.20741,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.069868996,0.072249589
1001,10,2015/2/15,15,0,2,0.6,13,2,6,46,7,129.72,115.71,0.02331,0.14284,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.120815138,0.129173508
1001,10,2015/2/16,9,0,1,0.6,12,2,0,47,8,129.72,115.71,0.00635,0.20741,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.142649199,0.141215107
1001,10,2015/2/17,16,0,1,0.8,11,2,1,48,8,129.72,115.71,0.02104,0.028,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.147016012,0.132457581
1001,10,2015/2/18,9,0,3,1,1,2,2,49,8,129.72,115.71,0.02104,0.028,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.318777293,0.315270936
1001,10,2015/2/19,1,0,3,1,2,2,3,50,8,129.72,115.71,0.00347,0.07125,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.114992722,0.119321292
1001,10,2015/2/20,0,0,3,1,3,2,4,51,8,129.72,115.71,0.00325,0.07125,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.084425036,0.089764641
1001,10,2015/2/21,2,0,3,1,4,2,5,52,8,129.72,115.71,0.02313,0.10803,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.069868996,0.072249589
1001,10,2015/2/22,4,0,3,1,5,2,6,53,8,129.72,115.71,0.00589,0.01509,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.120815138,0.129173508
1001,10,2015/2/23,2,0,3,1,6,2,0,54,9,129.72,115.71,0.00218,0.00693,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.142649199,0.141215107
1001,10,2015/2/24,1,0,3,1,7,2,1,55,9,129.72,115.71,0.22891,0.32881,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.147016012,0.132457581
1001,10,2015/2/25,0,0,1,0.5,8,2,2,56,9,129.72,115.71,0.03739,0.20741,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.318777293,0.315270936
1001,10,2015/2/26,2,0,1,0.3,9,2,3,57,9,129.72,115.71,0.22891,0.32881,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.114992722,0.119321292
1001,10,2015/2/27,3,0,1,0.3,10,2,4,58,9,129.72,115.71,0.07355,0.32881,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.084425036,0.089764641
1001,10,2015/2/28,4,0,1,0,0,2,5,59,9,129.72,115.71,0.01583,0.14284,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.069868996,0.072249589
1001,10,2015/3/1,8,0,2,0,0,3,6,60,9,129.72,115.71,0.01028,0.14284,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.120815138,0.129173508
1001,10,2015/3/2,9,0,1,0,0,3,0,61,10,129.72,115.71,0.22891,0.32881,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.142649199,0.141215107
1001,10,2015/3/3,8,0,1,0,0,3,1,62,10,129.72,115.71,0.07355,0.32881,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.147016012,0.132457581
1001,10,2015/3/4,12,0,1,0,0,3,2,63,10,129.72,115.71,0.07355,0.32881,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.318777293,0.315270936
1001,10,2015/3/5,9,0,1,0,0,3,3,64,10,129.72,115.71,0.01028,0.14284,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.114992722,0.119321292
1001,10,2015/3/6,3,0,1,0,0,3,4,65,10,129.72,115.71,0.22891,0.32881,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.084425036,0.089764641
1001,10,2015/3/7,5,0,2,0,0,3,5,66,10,129.72,115.71,0.02432,0.10803,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.069868996,0.072249589
1001,10,2015/3/8,5,0,2,0,0,3,6,67,10,129.72,115.71,0.01601,0.20741,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.120815138,0.129173508
1001,10,2015/3/9,13,0,1,0,0,3,0,68,11,129.72,115.71,0.22891,0.32881,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.142649199,0.141215107
1001,10,2015/3/10,5,0,1,0,0,3,1,69,11,129.72,115.71,0.02432,0.10803,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.147016012,0.132457581
1001,10,2015/3/11,10,0,1,0,0,3,2,70,11,129.72,115.71,0.01009,0.02,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.318777293,0.315270936
1001,10,2015/3/12,5,0,1,0,0,3,3,71,11,129.72,115.71,0.02233,0.07125,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.114992722,0.119321292
1001,10,2015/3/13,6,0,1,0,0,3,4,72,11,129.72,115.71,0.00236,0.07125,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.084425036,0.089764641
1001,10,2015/3/14,10,0,2,0,0,3,5,73,11,129.72,115.71,0.02215,0.32881,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.069868996,0.072249589
1001,10,2015/3/15,9,0,2,0,0,3,6,74,11,129.72,115.71,0.22891,0.32881,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.120815138,0.129173508
1001,10,2015/3/16,6,0,1,0,0,3,0,75,12,129.72,115.71,0.07355,0.32881,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.142649199,0.141215107
1001,10,2015/3/17,11,0,1,0,0,3,1,76,12,129.72,115.71,0.01166,0.14284,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.147016012,0.132457581
1001,10,2015/3/18,20,0,1,0,0,3,2,77,12,129.72,115.71,0.00745,0.14284,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.318777293,0.315270936
1001,10,2015/3/19,5,0,1,0,0,3,3,78,12,129.72,115.71,0.02215,0.32881,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.114992722,0.119321292
1001,10,2015/3/20,3,0,1,0,0,3,4,79,12,129.72,115.71,0.00202,0.10803,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.084425036,0.089764641
1001,10,2015/3/21,1,0,2,0,0,3,5,80,12,129.72,115.71,0.02705,0.20741,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.069868996,0.072249589
1001,10,2015/3/22,4,0,2,0,0,3,6,81,12,129.72,115.71,0.22891,0.32881,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.120815138,0.129173508
1001,10,2015/3/23,2,0,1,0,0,3,0,82,13,129.72,115.71,0.22891,0.32881,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.142649199,0.141215107
1001,10,2015/3/24,6,0,1,0,0,3,1,83,13,129.72,115.71,0.01371,0.20741,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.147016012,0.132457581
1001,10,2015/3/25,22,0,1,0,0,3,2,84,13,129.72,115.71,0.00159,0.00402,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.318777293,0.315270936
1001,10,2015/3/26,7,0,1,0,0,3,3,85,13,129.72,115.71,0.07355,0.32881,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.114992722,0.119321292
1001,10,2015/3/27,3,0,1,0,0,3,4,86,13,129.72,115.71,0.07355,0.32881,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.084425036,0.089764641
1001,10,2015/3/28,3,0,2,0,0,3,5,87,13,129.72,115.71,0.07355,0.32881,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.069868996,0.072249589
1001,10,2015/3/29,5,0,2,0,0,3,6,88,13,129.72,115.71,0.00227,0.02,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.120815138,0.129173508
1001,10,2015/3/30,6,0,1,0,0,3,0,89,14,129.72,115.71,0.22891,0.32881,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.142649199,0.141215107
1001,10,2015/3/31,0,0,1,0,0,3,1,90,14,129.72,115.71,0.00129,0.00693,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.147016012,0.132457581
1001,10,2015/4/1,17,0,1,0.6,13,4,2,91,14,129.72,115.71,0.07355,0.32881,7,9.033333333,35,0,4,4.64516129,15,0,3.737931034,0.318777293,0.315270936
1002,10,2015/1/1,0,0,3,1,1,1,3,1,1,4.54,115.71,0.22891,0.32881,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.04,0.119321292
1002,10,2015/1/2,0,0,3,1,2,1,4,2,1,4.54,115.71,0.02313,0.10803,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.16,0.089764641
1002,10,2015/1/3,0,0,3,1,3,1,5,3,1,4.54,115.71,0.22891,0.32881,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.04,0.072249589
1002,10,2015/1/4,0,0,1,0.5,8,1,6,4,1,4.54,115.71,0.00745,0.14284,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.2,0.129173508
1002,10,2015/1/5,1,0,1,0.3,9,1,0,5,2,4.54,115.71,0.0042,0.32881,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.16,0.141215107
1002,10,2015/1/6,0,0,1,0.3,10,1,1,6,2,4.54,115.71,0.22891,0.32881,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.08,0.132457581
1002,10,2015/1/7,1,0,1,0,0,1,2,7,2,4.54,115.71,0.00745,0.14284,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.28,0.315270936
1002,10,2015/1/8,1,0,1,0,0,1,3,8,2,4.54,115.71,0.01113,0.14284,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.04,0.119321292
1002,10,2015/1/9,0,0,1,0,0,1,4,9,2,4.54,115.71,0.02432,0.10803,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.16,0.089764641
1002,10,2015/1/10,0,0,2,0,0,1,5,10,2,4.54,115.71,0.00589,0.01509,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.04,0.072249589
1002,10,2015/1/11,0,0,2,0,0,1,6,11,2,4.54,115.71,0.00748,0.07125,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.2,0.129173508
1002,10,2015/1/12,0,0,1,0,0,1,0,12,3,4.54,115.71,0.02233,0.07125,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.16,0.141215107
1002,10,2015/1/13,0,0,1,0,0,1,1,13,3,4.54,115.71,0.22891,0.32881,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.08,0.132457581
1002,10,2015/1/14,0,0,1,0,0,1,2,14,3,4.54,115.71,0.02313,0.10803,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.28,0.315270936
1002,10,2015/1/15,0,0,1,0,0,1,3,15,3,4.54,115.71,0.00193,0.01482,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.04,0.119321292
1002,10,2015/1/16,0,0,1,0,0,1,4,16,3,4.54,115.71,0.01601,0.20741,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.16,0.089764641
1002,10,2015/1/17,0,0,2,0,0,1,5,17,3,4.54,115.71,0.22891,0.32881,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.04,0.072249589
1002,10,2015/1/18,0,0,2,0,0,1,6,18,3,4.54,115.71,0.01475,0.07125,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.2,0.129173508
1002,10,2015/1/19,0,0,1,0,0,1,0,19,4,4.54,115.71,0.01475,0.07125,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.16,0.141215107
1002,10,2015/1/20,0,0,1,0,0,1,1,20,4,4.54,115.71,0.22891,0.32881,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.08,0.132457581
1002,10,2015/1/21,0,0,1,0,0,1,2,21,4,4.54,115.71,0.00555,0.14284,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.28,0.315270936
1002,10,2015/1/22,0,0,1,0,0,1,3,22,4,4.54,115.71,0.02233,0.07125,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.04,0.119321292
1002,10,2015/1/23,1,0,1,0,0,1,4,23,4,4.54,115.71,0.03739,0.20741,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.16,0.089764641
1002,10,2015/1/24,0,0,2,0,0,1,5,24,4,4.54,115.71,0.07355,0.32881,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.04,0.072249589
1002,10,2015/1/25,1,0,2,0,0,1,6,25,4,4.54,115.71,0.03659,0.20741,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.2,0.129173508
1002,10,2015/1/26,0,0,1,0,0,1,0,26,5,4.54,115.71,0.00748,0.07125,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.16,0.141215107
1002,10,2015/1/27,0,0,1,0,0,1,1,27,5,4.54,115.71,0.22891,0.32881,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.08,0.132457581
1002,10,2015/1/28,0,0,1,0,0,1,2,28,5,4.54,115.71,0.01113,0.14284,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.28,0.315270936
1002,10,2015/1/29,0,0,1,0,0,1,3,29,5,4.54,115.71,0.00583,0.20741,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.04,0.119321292
1002,10,2015/1/30,0,0,1,0,0,1,4,30,5,4.54,115.71,0.00963,0.07125,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.16,0.089764641
1002,10,2015/1/31,1,0,2,0,0,1,5,31,5,4.54,115.71,0.00595,0.04399,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.04,0.072249589
1002,10,2015/2/1,2,0,2,0,0,2,6,32,5,4.54,115.71,0.07355,0.32881,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.2,0.129173508
1002,10,2015/2/2,0,0,1,0,0,2,0,33,6,4.54,115.71,0.22891,0.32881,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.16,0.141215107
1002,10,2015/2/3,0,0,1,0,0,2,1,34,6,4.54,115.71,0.02432,0.10803,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.08,0.132457581
1002,10,2015/2/4,0,0,1,0,0,2,2,35,6,4.54,115.71,0.02313,0.10803,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.28,0.315270936
1002,10,2015/2/5,0,0,1,0,0,2,3,36,6,4.54,115.71,0.01475,0.07125,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.04,0.119321292
1002,10,2015/2/6,1,0,1,0,0,2,4,37,6,4.54,115.71,0.00138,0.01509,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.16,0.089764641
1002,10,2015/2/7,0,0,2,0,0,2,5,38,6,4.54,115.71,0.00058,0.00132,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.04,0.072249589
1002,10,2015/2/8,0,0,2,0,0,2,6,39,6,4.54,115.71,0.07355,0.32881,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.2,0.129173508
1002,10,2015/2/9,0,0,1,0,0,2,0,40,7,4.54,115.71,0.07355,0.32881,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.16,0.141215107
1002,10,2015/2/10,2,0,1,0,0,2,1,41,7,4.54,115.71,0.00985,0.14284,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.08,0.132457581
1002,10,2015/2/11,2,0,1,0,0,2,2,42,7,4.54,115.71,0.00595,0.04399,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.28,0.315270936
1002,10,2015/2/12,0,0,1,0,0,2,3,43,7,4.54,115.71,0.0173,0.20741,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.04,0.119321292
1002,10,2015/2/13,2,0,1,0,0,2,4,44,7,4.54,115.71,0.07355,0.32881,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.16,0.089764641
1002,10,2015/2/14,0,0,2,0,0,2,5,45,7,4.54,115.71,0.02478,0.10803,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.04,0.072249589
1002,10,2015/2/15,1,0,2,0.6,13,2,6,46,7,4.54,115.71,0.01475,0.07125,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.2,0.129173508
1002,10,2015/2/16,2,0,1,0.6,12,2,0,47,8,4.54,115.71,0.01371,0.20741,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.16,0.141215107
1002,10,2015/2/17,0,0,1,0.8,11,2,1,48,8,4.54,115.71,0.22891,0.32881,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.08,0.132457581
1002,10,2015/2/18,0,0,3,1,1,2,2,49,8,4.54,115.71,0.02331,0.14284,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.28,0.315270936
1002,10,2015/2/19,0,0,3,1,2,2,3,50,8,4.54,115.71,0.22891,0.32881,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.04,0.119321292
1002,10,2015/2/20,0,0,3,1,3,2,4,51,8,4.54,115.71,0.0173,0.20741,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.16,0.089764641
1002,10,2015/2/21,0,0,3,1,4,2,5,52,8,4.54,115.71,0.07355,0.32881,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.04,0.072249589
1002,10,2015/2/22,1,0,3,1,5,2,6,53,8,4.54,115.71,0.00589,0.01509,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.2,0.129173508
1002,10,2015/2/23,0,0,3,1,6,2,0,54,9,4.54,115.71,0.03739,0.20741,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.16,0.141215107
1002,10,2015/2/24,0,0,3,1,7,2,1,55,9,4.54,115.71,0.03739,0.20741,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.08,0.132457581
1002,10,2015/2/25,0,0,1,0.5,8,2,2,56,9,4.54,115.71,0.22891,0.32881,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.28,0.315270936
1002,10,2015/2/26,0,0,1,0.3,9,2,3,57,9,4.54,115.71,0.03484,0.20741,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.04,0.119321292
1002,10,2015/2/27,0,0,1,0.3,10,2,4,58,9,4.54,115.71,0.01307,0.14284,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.16,0.089764641
1002,10,2015/2/28,0,0,1,0,0,2,5,59,9,4.54,115.71,0.01028,0.14284,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.04,0.072249589
1002,10,2015/3/1,0,0,2,0,0,3,6,60,9,4.54,115.71,0.02233,0.07125,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.2,0.129173508
1002,10,2015/3/2,0,0,1,0,0,3,0,61,10,4.54,115.71,0.02705,0.20741,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.16,0.141215107
1002,10,2015/3/3,0,0,1,0,0,3,1,62,10,4.54,115.71,0.03739,0.20741,0,0.3,2,0,0,0.193548387,2,0,2.571428571,0.08,0.132457581
