,Class,SaleDate,saleCount,dayOfWeek,parClass
416,1201,2015-01-24,75,5,12
417,1201,2015-01-25,95,6,12
418,1201,2015-01-26,111,0,12
419,1201,2015-01-27,102,1,12
420,1201,2015-01-28,161,2,12
421,1201,2015-01-29,75,3,12
422,1201,2015-01-30,84,4,12
423,1201,2015-01-31,99,5,12
424,1201,2015-02-01,68,6,12
425,1201,2015-02-02,109,0,12
426,1201,2015-02-03,88,1,12
427,1201,2015-02-04,2,2,12
428,1201,2015-02-05,74,3,12
429,1201,2015-02-06,75,4,12
430,1201,2015-02-07,77,5,12
431,1201,2015-02-08,73,6,12
432,1201,2015-02-09,115,0,12
433,1201,2015-02-10,78,1,12
434,1201,2015-02-11,81,2,12
435,1201,2015-02-12,93,3,12
436,1201,2015-02-13,67,4,12
437,1201,2015-02-15,95,6,12
438,1201,2015-02-16,125,0,12
439,1201,2015-02-17,109,1,12
440,1201,2015-02-18,122,2,12
441,1201,2015-02-19,14,3,12
442,1201,2015-02-20,17,4,12
443,1201,2015-02-21,46,5,12
444,1201,2015-02-22,55,6,12
445,1201,2015-02-23,42,0,12
446,1201,2015-02-24,88,1,12
447,1201,2015-02-25,81,2,12
448,1201,2015-02-26,52,3,12
449,1201,2015-02-27,74,4,12
450,1201,2015-02-28,50,5,12
451,1201,2015-03-01,80,6,12
452,1201,2015-03-02,91,0,12
453,1201,2015-03-03,78,1,12
454,1201,2015-03-04,85,2,12
455,1201,2015-03-05,67,3,12
456,1201,2015-03-06,64,4,12
457,1201,2015-03-07,37,5,12
458,1201,2015-03-08,72,6,12
459,1201,2015-03-09,90,0,12
460,1201,2015-03-10,77,1,12
461,1201,2015-03-11,99,2,12
462,1201,2015-03-12,89,3,12
463,1201,2015-03-13,95,4,12
464,1201,2015-03-14,148,5,12
465,1201,2015-03-15,68,6,12
466,1201,2015-03-16,84,0,12
467,1201,2015-03-17,85,1,12
468,1201,2015-03-18,124,2,12
469,1201,2015-03-19,86,3,12
470,1201,2015-03-20,43,4,12
471,1201,2015-03-21,59,5,12
472,1201,2015-03-22,73,6,12
473,1201,2015-03-23,105,0,12
474,1201,2015-03-24,66,1,12
475,1201,2015-03-25,111,2,12
476,1201,2015-03-26,68,3,12
477,1201,2015-03-27,54,4,12
478,1201,2015-03-28,72,5,12
479,1201,2015-03-29,40,6,12
480,1201,2015-03-30,99,0,12
481,1201,2015-04-01,145,2,12
482,1201,2015-04-02,60,3,12
483,1201,2015-04-03,81,4,12
484,1201,2015-04-04,91,5,12
485,1201,2015-04-05,68,6,12
486,1201,2015-04-06,58,0,12
487,1201,2015-04-07,86,1,12
488,1201,2015-04-08,105,2,12
489,1201,2015-04-10,72,4,12
490,1201,2015-04-11,92,5,12
491,1201,2015-04-12,89,6,12
492,1201,2015-04-13,100,0,12
493,1201,2015-04-14,83,1,12
494,1201,2015-04-15,112,2,12
495,1201,2015-04-17,92,4,12
496,1201,2015-04-18,93,5,12
497,1201,2015-04-19,79,6,12
498,1201,2015-04-20,109,0,12
499,1201,2015-04-21,82,1,12
500,1201,2015-04-22,148,2,12
501,1201,2015-04-23,83,3,12
502,1201,2015-04-24,109,4,12
503,1201,2015-04-25,78,5,12
504,1201,2015-04-26,111,6,12
505,1201,2015-04-27,111,0,12
506,1201,2015-04-28,72,1,12
507,1201,2015-04-29,116,2,12
508,1201,2015-04-30,50,3,12
509,1202,2015-01-01,5,3,12
510,1202,2015-01-02,5,4,12
511,1202,2015-01-03,9,5,12
512,1202,2015-01-04,12,6,12
513,1202,2015-01-05,13,0,12
514,1202,2015-01-06,9,1,12
515,1202,2015-01-07,15,2,12
516,1202,2015-01-08,6,3,12
517,1202,2015-01-09,14,4,12
518,1202,2015-01-10,4,5,12
519,1202,2015-01-11,10,6,12
520,1202,2015-01-12,8,0,12
521,1202,2015-01-13,18,1,12
522,1202,2015-01-14,9,2,12
523,1202,2015-01-15,8,3,12
524,1202,2015-01-16,10,4,12
525,1202,2015-01-17,7,5,12
526,1202,2015-01-18,8,6,12
527,1202,2015-01-19,20,0,12
528,1202,2015-01-20,16,1,12
529,1202,2015-01-21,12,2,12
530,1202,2015-01-22,12,3,12
531,1202,2015-01-23,10,4,12
532,1202,2015-01-24,8,5,12
533,1202,2015-01-25,13,6,12
534,1202,2015-01-26,4,0,12
535,1202,2015-01-27,11,1,12
536,1202,2015-01-28,15,2,12
537,1202,2015-01-29,13,3,12
538,1202,2015-01-30,5,4,12
539,1202,2015-01-31,5,5,12
540,1202,2015-02-01,8,6,12
541,1202,2015-02-02,13,0,12
542,1202,2015-02-03,11,1,12
543,1202,2015-02-04,1,2,12
544,1202,2015-02-05,14,3,12
545,1202,2015-02-06,7,4,12
546,1202,2015-02-07,16,5,12
547,1202,2015-02-08,10,6,12
548,1202,2015-02-09,14,0,12
549,1202,2015-02-10,9,1,12
550,1202,2015-02-11,13,2,12
551,1202,2015-02-12,11,3,12
552,1202,2015-02-13,4,4,12
553,1202,2015-02-15,6,6,12
554,1202,2015-02-16,10,0,12
555,1202,2015-02-17,10,1,12
556,1202,2015-02-18,7,2,12
557,1202,2015-02-20,1,4,12
558,1202,2015-02-21,1,5,12
559,1202,2015-02-24,6,1,12
560,1202,2015-02-25,4,2,12
561,1202,2015-02-26,1,3,12
562,1202,2015-02-27,4,4,12
563,1202,2015-02-28,10,5,12
564,1202,2015-03-01,6,6,12
565,1202,2015-03-02,9,0,12
566,1202,2015-03-03,5,1,12
567,1202,2015-03-04,3,2,12
568,1202,2015-03-05,4,3,12
569,1202,2015-03-06,4,4,12
570,1202,2015-03-07,2,5,12
571,1202,2015-03-08,8,6,12
572,1202,2015-03-09,15,0,12
573,1202,2015-03-10,4,1,12
574,1202,2015-03-11,11,2,12
575,1202,2015-03-12,7,3,12
576,1202,2015-03-13,3,4,12
577,1202,2015-03-14,14,5,12
578,1202,2015-03-15,7,6,12
579,1202,2015-03-16,12,0,12
580,1202,2015-03-17,5,1,12
581,1202,2015-03-18,9,2,12
582,1202,2015-03-19,2,3,12
583,1202,2015-03-20,6,4,12
584,1202,2015-03-21,2,5,12
585,1202,2015-03-22,4,6,12
586,1202,2015-03-23,9,0,12
587,1202,2015-03-24,4,1,12
588,1202,2015-03-25,14,2,12
589,1202,2015-03-26,9,3,12
590,1202,2015-03-27,2,4,12
591,1202,2015-03-28,10,5,12
592,1202,2015-03-29,4,6,12
593,1202,2015-03-30,7,0,12
594,1202,2015-04-01,16,2,12
595,1202,2015-04-02,4,3,12
596,1202,2015-04-03,6,4,12
597,1202,2015-04-04,6,5,12
598,1202,2015-04-05,6,6,12
599,1202,2015-04-06,6,0,12
600,1202,2015-04-07,8,1,12
601,1202,2015-04-08,13,2,12
602,1202,2015-04-10,4,4,12
603,1202,2015-04-11,9,5,12
604,1202,2015-04-12,11,6,12
605,1202,2015-04-13,5,0,12
606,1202,2015-04-14,7,1,12
607,1202,2015-04-15,5,2,12
608,1202,2015-04-17,3,4,12
609,1202,2015-04-18,7,5,12
610,1202,2015-04-19,3,6,12
611,1202,2015-04-20,9,0,12
612,1202,2015-04-21,12,1,12
613,1202,2015-04-22,9,2,12
614,1202,2015-04-23,7,3,12
615,1202,2015-04-24,6,4,12
616,1202,2015-04-25,5,5,12
617,1202,2015-04-26,8,6,12
618,1202,2015-04-27,5,0,12
619,1202,2015-04-28,5,1,12
620,1202,2015-04-29,7,2,12
621,1202,2015-04-30,7,3,12
622,1203,2015-01-01,33,3,12
623,1203,2015-01-02,27,4,12
624,1203,2015-01-03,18,5,12
625,1203,2015-01-04,21,6,12
626,1203,2015-01-05,32,0,12
627,1203,2015-01-06,37,1,12
628,1203,2015-01-07,24,2,12
629,1203,2015-01-08,34,3,12
630,1203,2015-01-09,26,4,12
631,1203,2015-01-10,30,5,12
632,1203,2015-01-11,21,6,12
633,1203,2015-01-12,18,0,12
634,1203,2015-01-13,23,1,12
635,1203,2015-01-14,42,2,12
636,1203,2015-01-15,19,3,12
637,1203,2015-01-16,27,4,12
638,1203,2015-01-17,25,5,12
639,1203,2015-01-18,33,6,12
640,1203,2015-01-19,42,0,12
641,1203,2015-01-20,37,1,12
642,1203,2015-01-21,52,2,12
643,1203,2015-01-22,26,3,12
644,1203,2015-01-23,28,4,12
645,1203,2015-01-24,33,5,12
646,1203,2015-01-25,30,6,12
647,1203,2015-01-26,34,0,12
648,1203,2015-01-27,16,1,12
649,1203,2015-01-28,43,2,12
650,1203,2015-01-29,13,3,12
651,1203,2015-01-30,30,4,12
652,1203,2015-01-31,20,5,12
653,1203,2015-02-01,33,6,12
654,1203,2015-02-02,27,0,12
655,1203,2015-02-03,19,1,12
656,1203,2015-02-05,16,3,12
657,1203,2015-02-06,31,4,12
658,1203,2015-02-07,24,5,12
659,1203,2015-02-08,23,6,12
660,1203,2015-02-09,32,0,12
661,1203,2015-02-10,24,1,12
662,1203,2015-02-11,20,2,12
663,1203,2015-02-12,29,3,12
664,1203,2015-02-13,23,4,12
665,1203,2015-02-15,27,6,12
666,1203,2015-02-16,35,0,12
667,1203,2015-02-17,27,1,12
668,1203,2015-02-18,42,2,12
669,1203,2015-02-19,5,3,12
670,1203,2015-02-20,11,4,12
671,1203,2015-02-21,10,5,12
672,1203,2015-02-22,13,6,12
673,1203,2015-02-23,9,0,12
674,1203,2015-02-24,21,1,12
675,1203,2015-02-25,20,2,12
676,1203,2015-02-26,14,3,12
677,1203,2015-02-27,13,4,12
678,1203,2015-02-28,25,5,12
679,1203,2015-03-01,25,6,12
680,1203,2015-03-02,21,0,12
681,1203,2015-03-03,5,1,12
682,1203,2015-03-04,40,2,12
683,1203,2015-03-05,17,3,12
684,1203,2015-03-06,24,4,12
685,1203,2015-03-07,19,5,12
686,1203,2015-03-08,27,6,12
687,1203,2015-03-09,26,0,12
688,1203,2015-03-10,24,1,12
689,1203,2015-03-11,54,2,12
690,1203,2015-03-12,29,3,12
691,1203,2015-03-13,26,4,12
692,1203,2015-03-14,34,5,12
693,1203,2015-03-15,35,6,12
694,1203,2015-03-16,33,0,12
695,1203,2015-03-17,38,1,12
696,1203,2015-03-18,84,2,12
697,1203,2015-03-19,26,3,12
698,1203,2015-03-20,21,4,12
699,1203,2015-03-21,26,5,12
700,1203,2015-03-22,17,6,12
701,1203,2015-03-23,51,0,12
702,1203,2015-03-24,31,1,12
703,1203,2015-03-25,50,2,12
704,1203,2015-03-26,16,3,12
705,1203,2015-03-27,21,4,12
706,1203,2015-03-28,23,5,12
707,1203,2015-03-29,17,6,12
708,1203,2015-03-30,34,0,12
709,1203,2015-04-01,37,2,12
710,1203,2015-04-02,32,3,12
711,1203,2015-04-03,29,4,12
712,1203,2015-04-04,15,5,12
713,1203,2015-04-05,16,6,12
714,1203,2015-04-06,11,0,12
715,1203,2015-04-07,36,1,12
716,1203,2015-04-08,49,2,12
717,1203,2015-04-10,18,4,12
718,1203,2015-04-11,27,5,12
719,1203,2015-04-12,44,6,12
720,1203,2015-04-13,27,0,12
721,1203,2015-04-14,57,1,12
722,1203,2015-04-15,57,2,12
723,1203,2015-04-17,35,4,12
724,1203,2015-04-18,36,5,12
725,1203,2015-04-19,13,6,12
726,1203,2015-04-20,26,0,12
727,1203,2015-04-21,26,1,12
728,1203,2015-04-22,49,2,12
729,1203,2015-04-23,33,3,12
730,1203,2015-04-24,21,4,12
731,1203,2015-04-25,21,5,12
732,1203,2015-04-26,37,6,12
733,1203,2015-04-27,32,0,12
734,1203,2015-04-28,19,1,12
735,1203,2015-04-29,53,2,12
736,1203,2015-04-30,18,3,12
737,1205,2015-01-01,1,3,12
738,1205,2015-01-02,1,4,12
739,1205,2015-01-03,1,5,12
740,1205,2015-01-04,3,6,12
741,1205,2015-01-05,1,0,12
742,1205,2015-01-06,4,1,12
743,1205,2015-01-08,2,3,12
744,1205,2015-01-09,1,4,12
745,1205,2015-01-12,3,0,12
746,1205,2015-01-14,3,2,12
747,1205,2015-01-15,2,3,12
748,1205,2015-01-16,2,4,12
749,1205,2015-01-17,4,5,12
750,1205,2015-01-18,1,6,12
751,1205,2015-01-19,6,0,12
752,1205,2015-01-20,2,1,12
753,1205,2015-01-21,6,2,12
754,1205,2015-01-22,4,3,12
755,1205,2015-01-23,8,4,12
756,1205,2015-01-24,3,5,12
757,1205,2015-01-25,2,6,12
758,1205,2015-01-26,2,0,12
759,1205,2015-01-27,1,1,12
760,1205,2015-01-28,3,2,12
761,1205,2015-01-29,1,3,12
762,1205,2015-01-30,1,4,12
763,1205,2015-01-31,2,5,12
764,1205,2015-02-01,4,6,12
765,1205,2015-02-02,1,0,12
766,1205,2015-02-05,2,3,12
767,1205,2015-02-06,3,4,12
768,1205,2015-02-08,1,6,12
769,1205,2015-02-10,2,1,12
770,1205,2015-02-11,4,2,12
771,1205,2015-02-12,2,3,12
772,1205,2015-02-13,5,4,12
773,1205,2015-02-15,1,6,12
