编码,日期,销量
1519,,0
1519,,1
1521,,6
1521,,4
1521,,4
1521,,8
1521,,9
1521,,12
1521,,7
1521,,7
1521,,8
1521,,9
1521,,11
1521,,10
1521,,12
1521,,7
1521,,7
1521,,8
1521,,9
1521,,11
1521,,10
1521,,12
1521,,7
1521,,7
1521,,8
1521,,9
1521,,11
1521,,10
1521,,12
1521,,7
1521,,7
1521,,8
2001,,2
2001,,2
2001,,1
2001,,1
2001,,0
2001,,5
2001,,1
2001,,2
2001,,2
2001,,1
2001,,1
2001,,1
2001,,2
2001,,1
2001,,2
2001,,2
2001,,1
2001,,1
2001,,1
2001,,2
2001,,1
2001,,2
2001,,2
2001,,1
2001,,1
2001,,1
2001,,2
2001,,1
2001,,2
2001,,2
2002,,2
2002,,2
2002,,2
2002,,2
2002,,2
2002,,2
2002,,2
2002,,2
2002,,1
2002,,2
2002,,2
2002,,2
2002,,2
2002,,2
2002,,2
2002,,1
2002,,2
2002,,2
2002,,2
2002,,2
2002,,2
2002,,2
2002,,1
2002,,2
2002,,2
2002,,2
2002,,2
2002,,2
2002,,2
2002,,1
2003,,0
2003,,1
2003,,0
2003,,1
2003,,0
2003,,0
2003,,0
2003,,0
2003,,1
2003,,1
2003,,0
2003,,0
2003,,0
2003,,0
2003,,0
2003,,1
2003,,1
2003,,0
2003,,0
2003,,0
2003,,0
2003,,0
2003,,1
2003,,1
2003,,0
2003,,0
2003,,0
2003,,0
2003,,0
2003,,1
2005,20150501.0,2
2005,20150502.0,2
2005,20150503.0,2
2005,20150504.0,4
2005,20150505.0,3
2005,20150506.0,4
2005,20150507.0,2
2005,20150508.0,2
2005,20150509.0,2
2005,20150510.0,3
2005,20150511.0,3
2005,20150512.0,3
2005,20150513.0,4
2005,20150514.0,2
2005,20150515.0,2
2005,20150516.0,2
2005,20150517.0,3
2005,20150518.0,3
2005,20150519.0,3
2005,20150520.0,4
2005,20150521.0,2
2005,20150522.0,2
2005,20150523.0,2
2005,20150524.0,3
2005,20150525.0,4
2005,20150526.0,3
2005,20150527.0,4
2005,20150528.0,2
2005,20150529.0,2
2005,20150530.0,2
2006,20150501.0,2
2006,20150502.0,2
2006,20150503.0,2
2006,20150504.0,4
2006,20150505.0,6
2006,20150506.0,5
2006,20150507.0,5
2006,20150508.0,3
2006,20150509.0,3
2006,20150510.0,3
2006,20150511.0,5
2006,20150512.0,5
2006,20150513.0,6
2006,20150514.0,5
2006,20150515.0,3
2006,20150516.0,3
2006,20150517.0,3
2006,20150518.0,5
2006,20150519.0,5
2006,20150520.0,6
2006,20150521.0,5
2006,20150522.0,3
2006,20150523.0,3
2006,20150524.0,3
2006,20150525.0,5
2006,20150526.0,5
2006,20150527.0,6
2006,20150528.0,4
2006,20150529.0,3
2006,20150530.0,3
2007,20150501.0,6
2007,20150502.0,3
2007,20150503.0,2
2007,20150504.0,3
2007,20150505.0,2
2007,20150506.0,2
2007,20150507.0,1
2007,20150508.0,2
2007,20150509.0,1
2007,20150510.0,2
2007,20150511.0,2
2007,20150512.0,2
2007,20150513.0,3
2007,20150514.0,1
2007,20150515.0,2
2007,20150516.0,1
2007,20150517.0,2
2007,20150518.0,2
2007,20150519.0,2
2007,20150520.0,3
2007,20150521.0,1
2007,20150522.0,2
2007,20150523.0,1
2007,20150524.0,2
2007,20150525.0,2
2007,20150526.0,2
2007,20150527.0,2
2007,20150528.0,1
2007,20150529.0,2
2007,20150530.0,1
2008,,3
2008,,3
2008,,3
2008,,5
2008,,5
2008,,5
2008,,3
2008,,3
2008,,3
2008,,4
2008,,4
2008,,4
2008,,5
2008,,3
2008,,3
2008,,3
2008,,4
2008,,4
2008,,4
2008,,5
2008,,3
2008,,3
2008,,3
2008,,4
2008,,4
2008,,4
2008,,5
2008,,3
2008,,3
2008,,3
2009,20150501.0,2
2009,20150502.0,1
2009,20150503.0,2
2009,20150504.0,4
2009,20150505.0,4
2009,20150506.0,4
2009,20150507.0,4
2009,20150508.0,2
2009,20150509.0,2
2009,20150510.0,3
2009,20150511.0,3
2009,20150512.0,4
2009,20150513.0,4
2009,20150514.0,4
2009,20150515.0,2
2009,20150516.0,2
2009,20150517.0,3
2009,20150518.0,3
2009,20150519.0,4
2009,20150520.0,4
2009,20150521.0,4
2009,20150522.0,2
2009,20150523.0,2
2009,20150524.0,3
2009,20150525.0,3
2009,20150526.0,4
2009,20150527.0,4
2009,20150528.0,4
2009,20150529.0,2
2009,20150530.0,2
2010,,0
2010,,1
2010,,0
2010,,0
2010,,2
2010,,2
2010,,1
2010,,1
2010,,1
2010,,1
2010,,2
2010,,1
2010,,2
2010,,1
2010,,1
2010,,1
2010,,1
2010,,2
2010,,1
2010,,2
2010,,1
2010,,1
2010,,1
2010,,1
2010,,2
2010,,1
2010,,2
2010,,1
2010,,1
2010,,1
2011,20150501.0,5
2011,20150502.0,5
2011,20150503.0,4
2011,20150504.0,7
2011,20150505.0,6
2011,20150506.0,7
2011,20150507.0,7
2011,20150508.0,6
2011,20150509.0,6
2011,20150510.0,5
2011,20150511.0,7
2011,20150512.0,7
2011,20150513.0,10
2011,20150514.0,8
2011,20150515.0,6
2011,20150516.0,6
2011,20150517.0,6
2011,20150518.0,7
2011,20150519.0,7
2011,20150520.0,10
2011,20150521.0,8
2011,20150522.0,6
2011,20150523.0,6
2011,20150524.0,6
2011,20150525.0,7
2011,20150526.0,9
2011,20150527.0,11
2011,20150528.0,8
2011,20150529.0,6
2011,20150530.0,6
2012,20150501.0,0
2012,20150502.0,0
2012,20150503.0,0
2012,20150504.0,0
2012,20150505.0,0
2012,20150506.0,0
2012,20150507.0,0
2012,20150508.0,0
2012,20150509.0,0
2012,20150510.0,0
2012,20150511.0,0
2012,20150512.0,0
2012,20150513.0,0
2012,20150514.0,0
2012,20150515.0,0
2012,20150516.0,0
2012,20150517.0,0
2012,20150518.0,0
2012,20150519.0,0
2012,20150520.0,0
2012,20150521.0,0
2012,20150522.0,0
2012,20150523.0,0
2012,20150524.0,0
2012,20150525.0,0
2012,20150526.0,0
2012,20150527.0,0
2012,20150528.0,0
2012,20150529.0,0
2012,20150530.0,0
2013,,5
2013,,2
2013,,2
2013,,4
2013,,5
2013,,5
2013,,3
2013,,3
2013,,4
2013,,4
2013,,4
2013,,5
2013,,4
2013,,3
2013,,3
2013,,4
2013,,4
2013,,4
2013,,4
2013,,4
2013,,3
2013,,3
2013,,4
2013,,4
2013,,4
2013,,4
2013,,5
2013,,3
2013,,3
2013,,4
2014,20150501.0,5
2014,20150502.0,2
2014,20150503.0,3
2014,20150504.0,6
2014,20150505.0,6
2014,20150506.0,7
2014,20150507.0,6
2014,20150508.0,5
2014,20150509.0,4
2014,20150510.0,5
2014,20150511.0,6
2014,20150512.0,6
2014,20150513.0,8
2014,20150514.0,6
2014,20150515.0,5
2014,20150516.0,4
2014,20150517.0,5
2014,20150518.0,6
2014,20150519.0,6
2014,20150520.0,8
2014,20150521.0,6
2014,20150522.0,5
2014,20150523.0,4
2014,20150524.0,5
2014,20150525.0,6
2014,20150526.0,6
2014,20150527.0,8
2014,20150528.0,6
2014,20150529.0,5
2014,20150530.0,4
2015,20150501.0,2
2015,20150502.0,2
2015,20150503.0,1
2015,20150504.0,1
2015,20150505.0,1
2015,20150506.0,2
2015,20150507.0,2
2015,20150508.0,2
2015,20150509.0,2
2015,20150510.0,2
2015,20150511.0,2
2015,20150512.0,2
2015,20150513.0,2
2015,20150514.0,2
2015,20150515.0,2
2015,20150516.0,2
2015,20150517.0,2
2015,20150518.0,2
2015,20150519.0,2
2015,20150520.0,2
2015,20150521.0,2
2015,20150522.0,2
2015,20150523.0,2
2015,20150524.0,2
2015,20150525.0,2
2015,20150526.0,2
2015,20150527.0,2
2015,20150528.0,2
2015,20150529.0,2
2015,20150530.0,2
2101,20150501.0,0
2101,20150502.0,0
2101,20150503.0,0
2101,20150504.0,0
2101,20150505.0,0
2101,20150506.0,0
2101,20150507.0,0
2101,20150508.0,0
2101,20150509.0,0
2101,20150510.0,0
2101,20150511.0,0
2101,20150512.0,0
2101,20150513.0,0
2101,20150514.0,0
2101,20150515.0,0
2101,20150516.0,0
2101,20150517.0,0
2101,20150518.0,0
2101,20150519.0,0
2101,20150520.0,0
2101,20150521.0,0
2101,20150522.0,0
2101,20150523.0,0
2101,20150524.0,0
2101,20150525.0,0
2101,20150526.0,0
2101,20150527.0,0
2101,20150528.0,0
2101,20150529.0,0
2101,20150530.0,0
2103,,0
2103,,0
2103,,0
2103,,0
2103,,1
2103,,0
2103,,0
2103,,0
2103,,0
2103,,0
2103,,0
2103,,0
2103,,0
2103,,0
2103,,0
2103,,0
2103,,0
2103,,0
2103,,0
2103,,0
2103,,0
2103,,0
2103,,0
2103,,0
2103,,0
2103,,0
2103,,0
2103,,0
2103,,0
2103,,0
2104,20150501.0,0
2104,20150502.0,1
2104,20150503.0,0
2104,20150504.0,1
2104,20150505.0,0
2104,20150506.0,1
2104,20150507.0,0
2104,20150508.0,0
2104,20150509.0,0
2104,20150510.0,1
2104,20150511.0,1
2104,20150512.0,0
2104,20150513.0,1
2104,20150514.0,0
2104,20150515.0,0
2104,20150516.0,0
2104,20150517.0,1
2104,20150518.0,1
2104,20150519.0,0
2104,20150520.0,1
2104,20150521.0,0
2104,20150522.0,0
2104,20150523.0,0
2104,20150524.0,1
2104,20150525.0,1
2104,20150526.0,0
2104,20150527.0,1
2104,20150528.0,0
2104,20150529.0,0
2104,20150530.0,0
2105,20150501.0,1
2105,20150502.0,1
2105,20150503.0,1
2105,20150504.0,1
2105,20150505.0,1
2105,20150506.0,1
2105,20150507.0,0
2105,20150508.0,1
2105,20150509.0,1
2105,20150510.0,1
2105,20150511.0,1
2105,20150512.0,1
2105,20150513.0,1
2105,20150514.0,0
2105,20150515.0,1
2105,20150516.0,1
2105,20150517.0,1
2105,20150518.0,1
2105,20150519.0,1
2105,20150520.0,1
2105,20150521.0,0
2105,20150522.0,1
2105,20150523.0,1
2105,20150524.0,1
2105,20150525.0,1
2105,20150526.0,1
2105,20150527.0,1
2105,20150528.0,0
2105,20150529.0,1
2105,20150530.0,1
2106,20150501.0,1
2106,20150502.0,0
2106,20150503.0,0
2106,20150504.0,0
2106,20150505.0,1
2106,20150506.0,1
2106,20150507.0,0
2106,20150508.0,0
2106,20150509.0,0
2106,20150510.0,0
2106,20150511.0,1
2106,20150512.0,1
2106,20150513.0,1
2106,20150514.0,0
2106,20150515.0,0
2106,20150516.0,0
2106,20150517.0,0
2106,20150518.0,1
2106,20150519.0,1
2106,20150520.0,1
2106,20150521.0,0
2106,20150522.0,0
2106,20150523.0,0
2106,20150524.0,0
2106,20150525.0,1
2106,20150526.0,1
2106,20150527.0,1
2106,20150528.0,0
2106,20150529.0,0
2106,20150530.0,0
2107,20150501.0,0
2107,20150502.0,0
2107,20150503.0,0
2107,20150504.0,0
2107,20150505.0,0
2107,20150506.0,0
2107,20150507.0,0
2107,20150508.0,0
2107,20150509.0,0
2107,20150510.0,0
2107,20150511.0,0
2107,20150512.0,0
2107,20150513.0,0
2107,20150514.0,0
2107,20150515.0,0
2107,20150516.0,0
2107,20150517.0,0
2107,20150518.0,0
2107,20150519.0,0
2107,20150520.0,0
2107,20150521.0,0
2107,20150522.0,0
2107,20150523.0,0
2107,20150524.0,0
2107,20150525.0,0
2107,20150526.0,0
2107,20150527.0,0
2107,20150528.0,0
2107,20150529.0,0
2107,20150530.0,0
2201,20150501.0,13
2201,20150502.0,13
2201,20150503.0,9
2201,20150504.0,12
2201,20150505.0,11
2201,20150506.0,13
2201,20150507.0,9
2201,20150508.0,10
2201,20150509.0,14
2201,20150510.0,9
2201,20150511.0,11
2201,20150512.0,11
2201,20150513.0,16
2201,20150514.0,9
2201,20150515.0,10
2201,20150516.0,14
2201,20150517.0,9
2201,20150518.0,11
2201,20150519.0,11
2201,20150520.0,16
2201,20150521.0,9
2201,20150522.0,10
2201,20150523.0,14
2201,20150524.0,9
2201,20150525.0,11
2201,20150526.0,11
2201,20150527.0,16
2201,20150528.0,9
2201,20150529.0,10
2201,20150530.0,14
2202,20150501.0,17
2202,20150502.0,7
2202,20150503.0,8
2202,20150504.0,10
2202,20150505.0,14
2202,20150506.0,18
2202,20150507.0,11
2202,20150508.0,12
2202,20150509.0,15
2202,20150510.0,15
2202,20150511.0,14
2202,20150512.0,14
2202,20150513.0,19
2202,20150514.0,12
2202,20150515.0,12
2202,20150516.0,15
2202,20150517.0,15
2202,20150518.0,14
2202,20150519.0,14
2202,20150520.0,19
2202,20150521.0,12
2202,20150522.0,14
2202,20150523.0,14
2202,20150524.0,16
2202,20150525.0,14
2202,20150526.0,14
2202,20150527.0,19
2202,20150528.0,12
2202,20150529.0,14
2202,20150530.0,14
2203,20150501.0,14
2203,20150502.0,13
2203,20150503.0,11
2203,20150504.0,6
2203,20150505.0,6
2203,20150506.0,10
2203,20150507.0,6
2203,20150508.0,9
2203,20150509.0,11
2203,20150510.0,10
2203,20150511.0,5
2203,20150512.0,6
2203,20150513.0,10
2203,20150514.0,6
2203,20150515.0,9
2203,20150516.0,11
2203,20150517.0,10
2203,20150518.0,6
2203,20150519.0,6
2203,20150520.0,10
2203,20150521.0,6
2203,20150522.0,9
2203,20150523.0,11
2203,20150524.0,10
2203,20150525.0,5
2203,20150526.0,6
2203,20150527.0,10
2203,20150528.0,6
2203,20150529.0,9
2203,20150530.0,11
2204,,6
2204,,5
2204,,3
2204,,9
2204,,5
2204,,8
2204,,3
2204,,5
2204,,5
2204,,4
2204,,6
2204,,5
2204,,8
2204,,3
2204,,5
2204,,5
2204,,4
2204,,6
2204,,6
2204,,8
2204,,3
2204,,5
2204,,5
2204,,4
2204,,6
2204,,6
2204,,8
2204,,3
2204,,5
2204,,5
2205,20150501.0,10
2205,20150502.0,5
2205,20150503.0,6
2205,20150504.0,6
2205,20150505.0,7
2205,20150506.0,10
2205,20150507.0,4
2205,20150508.0,9
2205,20150509.0,6
2205,20150510.0,8
2205,20150511.0,7
2205,20150512.0,8
2205,20150513.0,11
2205,20150514.0,5
2205,20150515.0,9
2205,20150516.0,6
2205,20150517.0,8
2205,20150518.0,7
2205,20150519.0,7
2205,20150520.0,11
2205,20150521.0,5
2205,20150522.0,9
2205,20150523.0,6
2205,20150524.0,8
2205,20150525.0,7
2205,20150526.0,7
2205,20150527.0,10
2205,20150528.0,4
2205,20150529.0,9
2205,20150530.0,6
2206,20150501.0,9
2206,20150502.0,4
2206,20150503.0,3
2206,20150504.0,5
2206,20150505.0,6
2206,20150506.0,6
2206,20150507.0,6
2206,20150508.0,7
2206,20150509.0,5
2206,20150510.0,6
2206,20150511.0,5
2206,20150512.0,5
2206,20150513.0,7
2206,20150514.0,6
2206,20150515.0,7
2206,20150516.0,5
2206,20150517.0,6
2206,20150518.0,5
2206,20150519.0,5
2206,20150520.0,7
2206,20150521.0,6
2206,20150522.0,7
2206,20150523.0,5
2206,20150524.0,6
2206,20150525.0,5
2206,20150526.0,5
2206,20150527.0,7
2206,20150528.0,6
2206,20150529.0,7
2206,20150530.0,5
2207,20150501.0,6
2207,20150502.0,4
2207,20150503.0,3
2207,20150504.0,3
2207,20150505.0,3
2207,20150506.0,5
2207,20150507.0,3
2207,20150508.0,4
2207,20150509.0,3
2207,20150510.0,3
2207,20150511.0,3
2207,20150512.0,3
2207,20150513.0,5
2207,20150514.0,3
2207,20150515.0,4
2207,20150516.0,3
2207,20150517.0,3
2207,20150518.0,3
2207,20150519.0,3
2207,20150520.0,5
2207,20150521.0,3
2207,20150522.0,4
2207,20150523.0,3
2207,20150524.0,3
2207,20150525.0,3
2207,20150526.0,3
2207,20150527.0,5
2207,20150528.0,3
2207,20150529.0,4
2207,20150530.0,3
2208,20150501.0,2
2208,20150502.0,3
2208,20150503.0,1
2208,20150504.0,2
2208,20150505.0,2
2208,20150506.0,2
2208,20150507.0,1
2208,20150508.0,2
2208,20150509.0,2
2208,20150510.0,1
2208,20150511.0,2
2208,20150512.0,2
2208,20150513.0,2
2208,20150514.0,1
2208,20150515.0,2
2208,20150516.0,2
2208,20150517.0,1
2208,20150518.0,2
2208,20150519.0,2
2208,20150520.0,2
2208,20150521.0,1
2208,20150522.0,2
2208,20150523.0,2
2208,20150524.0,2
2208,20150525.0,2
2208,20150526.0,2
2208,20150527.0,2
2208,20150528.0,1
2208,20150529.0,2
2208,20150530.0,2
2209,20150501.0,2
2209,20150502.0,2
2209,20150503.0,1
2209,20150504.0,1
2209,20150505.0,1
2209,20150506.0,1
2209,20150507.0,1
2209,20150508.0,1
2209,20150509.0,2
2209,20150510.0,2
2209,20150511.0,1
2209,20150512.0,1
2209,20150513.0,2
2209,20150514.0,1
2209,20150515.0,1
2209,20150516.0,2
2209,20150517.0,2
2209,20150518.0,1
2209,20150519.0,1
2209,20150520.0,2
2209,20150521.0,1
2209,20150522.0,1
2209,20150523.0,2
2209,20150524.0,2
2209,20150525.0,1
2209,20150526.0,2
2209,20150527.0,2
2209,20150528.0,1
2209,20150529.0,1
2209,20150530.0,2
2210,20150501.0,2
2210,20150502.0,1
2210,20150503.0,1
2210,20150504.0,1
2210,20150505.0,1
2210,20150506.0,4
2210,20150507.0,2
2210,20150508.0,3
2210,20150509.0,3
2210,20150510.0,2
2210,20150511.0,2
2210,20150512.0,2
2210,20150513.0,3
2210,20150514.0,2
2210,20150515.0,3
2210,20150516.0,3
2210,20150517.0,2
2210,20150518.0,2
2210,20150519.0,2
2210,20150520.0,3
2210,20150521.0,2
2210,20150522.0,3
2210,20150523.0,3
2210,20150524.0,2
2210,20150525.0,2
2210,20150526.0,2
2210,20150527.0,3
2210,20150528.0,2
2210,20150529.0,3
2210,20150530.0,3
2211,20150501.0,0
2211,20150502.0,0
2211,20150503.0,0
2211,20150504.0,0
2211,20150505.0,0
2211,20150506.0,0
2211,20150507.0,0
2211,20150508.0,0
2211,20150509.0,1
2211,20150510.0,0
2211,20150511.0,0
2211,20150512.0,0
2211,20150513.0,0
2211,20150514.0,0
2211,20150515.0,0
2211,20150516.0,1
2211,20150517.0,0
2211,20150518.0,0
2211,20150519.0,0
2211,20150520.0,0
2211,20150521.0,0
2211,20150522.0,0
2211,20150523.0,1
2211,20150524.0,0
2211,20150525.0,0
2211,20150526.0,0
2211,20150527.0,0
2211,20150528.0,0
2211,20150529.0,0
2211,20150530.0,1
2212,20150501.0,2
2212,20150502.0,0
2212,20150503.0,1
2212,20150504.0,1
2212,20150505.0,1
2212,20150506.0,1
2212,20150507.0,1
2212,20150508.0,1
2212,20150509.0,1
2212,20150510.0,1
2212,20150511.0,1
2212,20150512.0,1
2212,20150513.0,1
2212,20150514.0,1
2212,20150515.0,1
2212,20150516.0,1
2212,20150517.0,1
2212,20150518.0,1
2212,20150519.0,1
2212,20150520.0,1
2212,20150521.0,1
2212,20150522.0,1
2212,20150523.0,1
2212,20150524.0,1
2212,20150525.0,1
2212,20150526.0,1
2212,20150527.0,1
2212,20150528.0,1
2212,20150529.0,1
2212,20150530.0,1
2301,20150501.0,1
2301,20150502.0,0
2301,20150503.0,1
2301,20150504.0,1
2301,20150505.0,0
2301,20150506.0,1
2301,20150507.0,0
2301,20150508.0,1
2301,20150509.0,1
2301,20150510.0,1
2301,20150511.0,1
2301,20150512.0,1
2301,20150513.0,1
2301,20150514.0,0
2301,20150515.0,1
2301,20150516.0,1
2301,20150517.0,1
2301,20150518.0,1
2301,20150519.0,1
2301,20150520.0,1
2301,20150521.0,1
2301,20150522.0,1
2301,20150523.0,1
2301,20150524.0,1
2301,20150525.0,1
2301,20150526.0,1
2301,20150527.0,1
2301,20150528.0,1
2301,20150529.0,1
2301,20150530.0,1
2302,20150501.0,2
2302,20150502.0,1
2302,20150503.0,1
2302,20150504.0,0
2302,20150505.0,1
2302,20150506.0,0
2302,20150507.0,1
2302,20150508.0,1
2302,20150509.0,1
2302,20150510.0,1
2302,20150511.0,1
2302,20150512.0,1
2302,20150513.0,1
2302,20150514.0,1
2302,20150515.0,1
2302,20150516.0,1
2302,20150517.0,1
2302,20150518.0,1
2302,20150519.0,1
2302,20150520.0,1
2302,20150521.0,1
2302,20150522.0,1
2302,20150523.0,1
2302,20150524.0,1
2302,20150525.0,1
2302,20150526.0,1
2302,20150527.0,1
2302,20150528.0,1
2302,20150529.0,1
2302,20150530.0,1
2303,20150501.0,1
2303,20150502.0,2
2303,20150503.0,1
2303,20150504.0,2
2303,20150505.0,2
2303,20150506.0,1
2303,20150507.0,2
2303,20150508.0,2
2303,20150509.0,2
2303,20150510.0,2
2303,20150511.0,1
2303,20150512.0,2
2303,20150513.0,2
2303,20150514.0,2
2303,20150515.0,2
2303,20150516.0,2
2303,20150517.0,2
2303,20150518.0,1
2303,20150519.0,2
2303,20150520.0,2
2303,20150521.0,2
2303,20150522.0,2
2303,20150523.0,2
2303,20150524.0,2
2303,20150525.0,1
2303,20150526.0,2
2303,20150527.0,2
2303,20150528.0,2
2303,20150529.0,2
2303,20150530.0,2
2304,20150501.0,0
2304,20150502.0,0
2304,20150503.0,0
2304,20150504.0,0
2304,20150505.0,0
2304,20150506.0,0
2304,20150507.0,0
2304,20150508.0,0
2304,20150509.0,0
2304,20150510.0,0
2304,20150511.0,0
2304,20150512.0,0
2304,20150513.0,0
2304,20150514.0,0
2304,20150515.0,0
2304,20150516.0,0
2304,20150517.0,0
2304,20150518.0,0
2304,20150519.0,0
2304,20150520.0,0
2304,20150521.0,0
2304,20150522.0,0
2304,20150523.0,0
2304,20150524.0,0
2304,20150525.0,0
2304,20150526.0,0
2304,20150527.0,0
2304,20150528.0,0
2304,20150529.0,0
2304,20150530.0,0
2305,,0
2305,,1
2305,,0
2305,,0
2305,,0
2305,,0
2305,,0
2305,,0
2305,,1
2305,,1
2305,,0
2305,,0
2305,,0
2305,,0
2305,,0
2305,,1
2305,,1
2305,,0
2305,,0
2305,,0
2305,,0
2305,,0
2305,,1
2305,,1
2305,,0
2305,,0
2305,,0
2305,,0
2305,,0
2305,,1
2306,20150501.0,2
2306,20150502.0,1
2306,20150503.0,1
2306,20150504.0,0
2306,20150505.0,1
2306,20150506.0,0
2306,20150507.0,0
2306,20150508.0,1
2306,20150509.0,1
2306,20150510.0,1
2306,20150511.0,0
2306,20150512.0,1
2306,20150513.0,1
2306,20150514.0,0
2306,20150515.0,1
2306,20150516.0,1
2306,20150517.0,1
2306,20150518.0,1
2306,20150519.0,1
2306,20150520.0,1
2306,20150521.0,0
2306,20150522.0,1
2306,20150523.0,1
2306,20150524.0,1
2306,20150525.0,1
2306,20150526.0,1
2306,20150527.0,1
2306,20150528.0,0
2306,20150529.0,1
2306,20150530.0,1
2307,20150501.0,3
2307,20150502.0,2
2307,20150503.0,0
2307,20150504.0,1
2307,20150505.0,1
2307,20150506.0,2
2307,20150507.0,1
2307,20150508.0,2
2307,20150509.0,3
2307,20150510.0,1
2307,20150511.0,1
2307,20150512.0,1
2307,20150513.0,2
2307,20150514.0,1
2307,20150515.0,2
2307,20150516.0,3
2307,20150517.0,1
2307,20150518.0,1
2307,20150519.0,1
2307,20150520.0,2
2307,20150521.0,1
2307,20150522.0,2
2307,20150523.0,3
2307,20150524.0,1
2307,20150525.0,1
2307,20150526.0,1
2307,20150527.0,2
2307,20150528.0,1
2307,20150529.0,2
2307,20150530.0,3
2309,20150501.0,1
2309,20150502.0,1
2309,20150503.0,2
2309,20150504.0,0
2309,20150505.0,2
2309,20150506.0,1
2309,20150507.0,1
2309,20150508.0,1
2309,20150509.0,1
2309,20150510.0,1
2309,20150511.0,1
